method,fit_scope,seed,target_alpha,condition,region,selected_coverage,coverage,rejected_pixel_fraction,actual_selective_risk,pixel_weighted_selective_risk,monotone_envelope_risk,risk_excess,absolute_risk_violation,accepted_correct_pixel_fraction,accepted_error_count,cluster_count,aurc,eaurc
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,turbidity_s2,interior,0.015342465753424659,0.015352857608800915,0.9846471423911991,0.0347484979365493,0.03941482101807022,0.03577719951504586,-0.015251502063450703,0.0,0.01474772747403411,12566.036162876058,146,0.06899465698261363,0.035798288939386504
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,turbidity_s3,full,0.01,0.010002983940972222,0.9899970160590278,0.05034468024169742,0.05034468024169742,0.05034468024169742,0.000344680241697419,0.000344680241697419,0.009499386913001142,10841.72689004954,146,0.08037409577202352,0.04487708578920141
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,turbidity_s3,boundary,0.01,0.010095249332992455,0.9899047506670076,0.3238096859510223,0.35103896209655644,0.3238096859510223,0.2738096859510223,0.2738096859510223,0.00655142348503283,2703.0000081434846,146,0.42241778213218206,0.27581179869712497
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,turbidity_s3,interior,0.01,0.010003399332586626,0.9899966006674134,0.05039612856200794,0.050517339362670485,0.05039612856200794,0.0003961285620079358,0.0003961285620079358,0.009498054213722035,10493.916388468177,146,0.07665873834791881,0.042644797054774586
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s1,full,0.02041095890410959,0.02041351922207953,0.9795864807779204,0.03211566422067659,0.042989130272573305,0.033296091165489275,-0.017884335779323413,0.0,0.01953595978491987,18892.60503740888,146,0.07315967665934683,0.03792177948579156
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s1,boundary,0.02041095890410959,0.0208892996912427,0.9791107003087574,0.34314387350355924,0.36838636897083005,0.3537758399719653,0.29314387350355925,0.29314387350355925,0.01319396642764232,5869.500016812235,146,0.4196774306880591,0.27388081533091496
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s1,interior,0.02041095890410959,0.020400377716462338,0.9795996222835377,0.03195648193231797,0.04248901916965456,0.033120151424193625,-0.018043518067682035,0.0,0.019533585676599376,17999.66567985993,146,0.069627758648613,0.035766258544789924
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s2,full,0.015479452054794523,0.015482213036291857,0.9845177869637082,0.0345555575331673,0.03658811018010025,0.036979008904556195,-0.0154444424668327,0.0,0.014915748119888226,12195.183004129212,146,0.08203218429434096,0.04286972747302288
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s2,boundary,0.015479452054794523,0.014967190439667774,0.9850328095603322,0.34426986620034256,0.38232889506422874,0.3512687501433778,0.29426986620034257,0.29426986620034257,0.009244801056653706,4364.6666660532355,146,0.4325102303320006,0.27828365148852907
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s2,interior,0.015479452054794523,0.015505367685325145,0.9844946323146748,0.034479335172712636,0.036385972409774106,0.03692694469446744,-0.015520664827287367,0.0,0.0149411898045235,11715.628168443887,146,0.07823672572411973,0.040593272129465535
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s3,full,0.01,0.010002983940972222,0.9899970160590278,0.07221592281951429,0.07221592281951429,0.07221592281951429,0.02221592281951429,0.02221592281951429,0.009280609224726132,15551.698979182402,146,0.13450725746041045,0.07731333921549655
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s3,boundary,0.01,0.010095249332992455,0.9899047506670076,0.3898056221692121,0.4039261950654062,0.3898056221692121,0.3398056221692121,0.3398056221692121,0.006017513681680233,3110.231702003628,146,0.4746658802528751,0.2906789316995203
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,lowlight_s3,interior,0.01,0.010003399332586626,0.9899966006674134,0.07177894861016372,0.07226168421216048,0.07177894861016372,0.021778948610163718,0.021778948610163718,0.009280536848967114,15010.847399707884,146,0.1298690092025611,0.07480166808157769
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s1,full,0.01986301369863014,0.019865596312547563,0.9801344036874524,0.04381163657901247,0.05697343492361248,0.046226820497843754,-0.006188363420987532,0.0,0.01873378505381588,24366.284701260738,146,0.07488146821129779,0.04025340459072319
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s1,boundary,0.01986301369863014,0.02031505044346988,0.9796849495565301,0.34379442559223466,0.36492416978569986,0.35419784340854377,0.2937944255922347,0.2937944255922347,0.012901597526232022,5654.500010829419,146,0.4208562175383511,0.27526567032931526
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s1,interior,0.01986301369863014,0.01985322915647866,0.9801467708435213,0.04372301713578652,0.056683414654843,0.0460045384041796,-0.006276982864213486,0.0,0.018727880335964363,23368.814676337468,146,0.07144183525956278,0.03816993827029684
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s2,full,0.018767123287671234,0.018769750493483638,0.9812302495065164,0.04320391916593358,0.05455441391554766,0.04506654753541089,-0.006796080834066423,0.0,0.017745777755970575,22044.674901477993,146,0.07742832303241474,0.04396283743752332
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s2,boundary,0.018767123287671234,0.01901184552957449,0.9809881544704255,0.3638266348726537,0.38042204039855076,0.37387026216171376,0.3138266348726537,0.3138266348726537,0.011779320461471699,5516.500007819384,146,0.43250184838060446,0.2799677288344093
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s2,interior,0.018767123287671234,0.018765047849494756,0.9812349521505053,0.04313217898135469,0.05411027113416056,0.04484504730638423,-0.006867821018645311,0.0,0.017749666022513096,21085.257573390612,146,0.073742605894689,0.041780222911336255
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s3,full,0.018356164383561645,0.018358808311334664,0.9816411916886654,0.043902340627750634,0.055548578006728126,0.04542751754642056,-0.0060976593722493685,0.0,0.017339002615741922,21954.96442280122,146,0.08845410226335848,0.04955449357031113
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s3,boundary,0.018356164383561645,0.01870374376421693,0.9812962562357831,0.37937361948600373,0.3999953278163222,0.38659517556326845,0.32937361948600374,0.32937361948600374,0.011222333645856487,5706.333346627653,146,0.4535322001955969,0.28728717200331083
quality_group_crc_global_fallback,calibration_quality_group,20260723.0,0.05,blur_s3,interior,0.018356164383561645,0.018350328310806192,0.9816496716891938,0.04387547736744275,0.055203035680870274,0.04528680136359507,-0.00612452263255725,0.0,0.017337334482309074,21035.668776552426,146,0.08427988374183738,0.047139702536405224
quality_group_crc,calibration_quality_group,20260723.0,0.05,clean,full,0.02219178082191781,0.02219426867805841,0.9778057313219416,0.04051418983527421,0.044755812245699765,0.04166297199545836,-0.009485810164725793,0.0,0.02120094615617261,21384.81940493005,146,0.07209341763593315,0.03825865009882373
quality_group_crc,calibration_quality_group,20260723.0,0.05,clean,boundary,0.02219178082191781,0.02316794168354671,0.9768320583164533,0.34913321571705275,0.36725897310534295,0.3613157717587605,0.29913321571705276,0.29913321571705276,0.014659307211882876,6489.833313744515,146,0.41797494622917003,0.2737444500968542
quality_group_crc,calibration_quality_group,20260723.0,0.05,clean,interior,0.02219178082191781,0.022162839443873233,0.9778371605561268,0.040306538679519006,0.044365917991450496,0.04131902437075041,-0.009693461320480996,0.0,0.02117956472664867,20418.526437205262,146,0.06861003499507132,0.03610580936377746
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s1,full,0.02041095890410959,0.02041351922207953,0.9795864807779204,0.02637925805374087,0.03677248202063818,0.02882109625083203,-0.023620741946259134,0.0,0.019662863453507658,16160.549763537943,146,0.0719648485036804,0.03783488663502834
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s1,boundary,0.02041095890410959,0.021088582535218652,0.9789114174647814,0.34556065151493437,0.3700031102733107,0.3576281942707831,0.2955606515149344,0.2955606515149344,0.013285741405932331,5951.500028746203,146,0.41865243744079583,0.2738825749451398
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s1,interior,0.02041095890410959,0.020393009847277554,0.9796069901527225,0.026049928662123172,0.036177598350330895,0.02838362013336673,-0.02395007133787683,0.0,0.019655239727868406,15320.416994201427,146,0.06842291599015633,0.03564758261635715
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s2,full,0.017397260273972603,0.01739994321965373,0.9826000567803462,0.022803619742387114,0.032643302649162945,0.02438176130757935,-0.02719638025761289,0.0,0.016831951607056323,12228.050599165843,146,0.07493001231044077,0.040681906000299986
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s2,boundary,0.017397260273972603,0.01765619776200122,0.9823438022379988,0.348810195476327,0.3756837692754051,0.3558080329189766,0.29881019547632703,0.29881019547632703,0.01102305083570063,5059.33332083188,146,0.42052554758877997,0.27473474840558754
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s2,interior,0.017397260273972603,0.017394720493140635,0.9826052795068594,0.022722229431702257,0.03229416398149588,0.02424772907278105,-0.027277770568297745,0.0,0.016832972537122865,11665.168736740015,146,0.07132767059328576,0.038447663509724415
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s3,full,0.010273972602739725,0.010276945395738203,0.9897230546042618,0.030532905421289933,0.02971896325605107,0.030532905421289933,-0.01946709457871007,0.0,0.009971525233137817,6575.261182474787,146,0.07623668910651696,0.043315165765821735
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s3,boundary,0.010273972602739725,0.01026306646476168,0.9897369335352383,0.33224133217120416,0.34580991542448397,0.3324752523346919,0.2822413321712042,0.2822413321712042,0.006713996318586586,2707.0000179428607,146,0.4231146312663204,0.2758883309273995
quality_group_crc,calibration_quality_group,20260723.0,0.05,color_s3,interior,0.010273972602739725,0.010281259497267652,0.9897187405027323,0.03021569647076731,0.029359476353664274,0.03021569647076731,-0.019784303529232692,0.0,0.009979407102171736,6268.2188420309685,146,0.0724317423001155,0.04095653803177194
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s1,full,0.02164383561643836,0.021646345768526445,0.9783536542314736,0.035261058433568235,0.042275797892471594,0.036286376767523894,-0.014738941566431768,0.0,0.020731229229705665,19701.15595486015,146,0.07121968947991793,0.03724790210231138
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s1,boundary,0.02164383561643836,0.022385232092404308,0.9776147679075957,0.3460282256750211,0.36166100522824646,0.357399823246141,0.29602822567502113,0.29602822567502113,0.014289366551597764,6175.00000326708,146,0.4168391479491831,0.2731896255560253
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s1,interior,0.02164383561643836,0.021623444001136288,0.9783765559988638,0.03483159515100901,0.041664350377049575,0.035874738794917316,-0.015168404848990992,0.0,0.020722517253914437,18708.501585456193,146,0.06774542718883479,0.03510038855033477
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s2,full,0.015342465753424659,0.015345232308908866,0.9846547676910912,0.03475187475592128,0.0396218360938631,0.0357189638905342,-0.015248125244078724,0.0,0.014737226029543027,13089.509393804707,146,0.07251081496004423,0.03795752405037782
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s2,boundary,0.015342465753424659,0.015247759706844447,0.9847522402931556,0.3124722228704454,0.3520206378244331,0.3166397225290333,0.2624722228704454,0.2624722228704454,0.009880233609447373,4094.0000178981572,146,0.41679643643280007,0.2729922999679868
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s2,interior,0.015342465753424659,0.015352857608800915,0.9846471423911991,0.0347484979365493,0.03941482101807022,0.03577719951504586,-0.015251502063450703,0.0,0.01474772747403411,12566.036162876058,146,0.06899465698261363,0.035798288939386504
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s3,full,0.01,0.010002983940972222,0.9899970160590278,0.05034468024169742,0.05034468024169742,0.05034468024169742,0.000344680241697419,0.000344680241697419,0.009499386913001142,10841.72689004954,146,0.08037409577202352,0.04487708578920141
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s3,boundary,0.01,0.010095249332992455,0.9899047506670076,0.3238096859510223,0.35103896209655644,0.3238096859510223,0.2738096859510223,0.2738096859510223,0.00655142348503283,2703.0000081434846,146,0.42241778213218206,0.27581179869712497
quality_group_crc,calibration_quality_group,20260723.0,0.05,turbidity_s3,interior,0.01,0.010003399332586626,0.9899966006674134,0.05039612856200794,0.050517339362670485,0.05039612856200794,0.0003961285620079358,0.0003961285620079358,0.009498054213722035,10493.916388468177,146,0.07665873834791881,0.042644797054774586
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s1,full,0.02041095890410959,0.02041351922207953,0.9795864807779204,0.03211566422067659,0.042989130272573305,0.033296091165489275,-0.017884335779323413,0.0,0.01953595978491987,18892.60503740888,146,0.07315967665934683,0.03792177948579156
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s1,boundary,0.02041095890410959,0.0208892996912427,0.9791107003087574,0.34314387350355924,0.36838636897083005,0.3537758399719653,0.29314387350355925,0.29314387350355925,0.01319396642764232,5869.500016812235,146,0.4196774306880591,0.27388081533091496
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s1,interior,0.02041095890410959,0.020400377716462338,0.9795996222835377,0.03195648193231797,0.04248901916965456,0.033120151424193625,-0.018043518067682035,0.0,0.019533585676599376,17999.66567985993,146,0.069627758648613,0.035766258544789924
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s2,full,0.015479452054794523,0.015482213036291857,0.9845177869637082,0.0345555575331673,0.03658811018010025,0.036979008904556195,-0.0154444424668327,0.0,0.014915748119888226,12195.183004129212,146,0.08203218429434096,0.04286972747302288
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s2,boundary,0.015479452054794523,0.014967190439667774,0.9850328095603322,0.34426986620034256,0.38232889506422874,0.3512687501433778,0.29426986620034257,0.29426986620034257,0.009244801056653706,4364.6666660532355,146,0.4325102303320006,0.27828365148852907
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s2,interior,0.015479452054794523,0.015505367685325145,0.9844946323146748,0.034479335172712636,0.036385972409774106,0.03692694469446744,-0.015520664827287367,0.0,0.0149411898045235,11715.628168443887,146,0.07823672572411973,0.040593272129465535
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s3,full,0.01,0.010002983940972222,0.9899970160590278,0.07221592281951429,0.07221592281951429,0.07221592281951429,0.02221592281951429,0.02221592281951429,0.009280609224726132,15551.698979182402,146,0.13450725746041045,0.07731333921549655
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s3,boundary,0.01,0.010095249332992455,0.9899047506670076,0.3898056221692121,0.4039261950654062,0.3898056221692121,0.3398056221692121,0.3398056221692121,0.006017513681680233,3110.231702003628,146,0.4746658802528751,0.2906789316995203
quality_group_crc,calibration_quality_group,20260723.0,0.05,lowlight_s3,interior,0.01,0.010003399332586626,0.9899966006674134,0.07177894861016372,0.07226168421216048,0.07177894861016372,0.021778948610163718,0.021778948610163718,0.009280536848967114,15010.847399707884,146,0.1298690092025611,0.07480166808157769
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s1,full,0.01986301369863014,0.019865596312547563,0.9801344036874524,0.04381163657901247,0.05697343492361248,0.046226820497843754,-0.006188363420987532,0.0,0.01873378505381588,24366.284701260738,146,0.07488146821129779,0.04025340459072319
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s1,boundary,0.01986301369863014,0.02031505044346988,0.9796849495565301,0.34379442559223466,0.36492416978569986,0.35419784340854377,0.2937944255922347,0.2937944255922347,0.012901597526232022,5654.500010829419,146,0.4208562175383511,0.27526567032931526
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s1,interior,0.01986301369863014,0.01985322915647866,0.9801467708435213,0.04372301713578652,0.056683414654843,0.0460045384041796,-0.006276982864213486,0.0,0.018727880335964363,23368.814676337468,146,0.07144183525956278,0.03816993827029684
quality_group_crc,calibration_quality_group,20260723.0,0.05,blur_s2,full,0.018767123287671234,0.018769750493483638,0.9812302495065164,0.04320391916593358,0.05455441391554766,0.04506654753541089,-0.006796080834066423,0.0,0.017745777755970575,22044.674901477993,146,0.07742832303241474,0.04396283743752332
